         4715341 function calls (4704452 primitive calls) in 2.289 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.000    0.000    0.000    0.000 getlimits.py:26(_fr1)
        2    0.000    0.000    0.000    0.000 helper.py:251(__init__)
       48    0.000    0.000    0.000    0.000 encoder.py:417(_iterencode)
       24    0.000    0.000    0.000    0.000 sre_parse.py:190(__init__)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
        6    0.000    0.000    0.000    0.000 core.py:1143(__init__)
        8    0.000    0.000    0.000    0.000 zfield.py:932(__rmul__)
        3    0.000    0.000    0.000    0.000 decimal.py:3782(__init__)
       12    0.000    0.000    0.000    0.000 {all}
       12    0.000    0.000    0.000    0.000 function_base.py:2230(trim_zeros)
        1    0.000    0.000    0.000    0.000 threading.py:1081(__init__)
       67    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
        1    0.000    0.000    0.000    0.000 <string>:1(DecimalTuple)
       12    0.000    0.000    0.000    0.000 numeric.py:495(asanyarray)
        4    0.000    0.000    0.000    0.000 {open}
      222    0.000    0.000    0.000    0.000 {range}
        5    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
        1    0.000    0.000    0.000    0.000 zpoly.py:56(<module>)
       98    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
       29    0.000    0.000    0.000    0.000 sre_parse.py:278(_escape)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
        2    0.000    0.000    0.000    0.000 collections.py:50(__init__)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
      124    0.000    0.000    0.000    0.000 sre_parse.py:93(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:778(_construct_lookups)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
        4    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
       13    0.000    0.000    0.000    0.000 mixins.py:48(_numeric_methods)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:40(literal_eval)
       70    0.000    0.000    0.000    0.000 zfield.py:665(__ne__)
